column1,Date,Headline
31,2021-11-22,European shares rise on telecoms M&A Telecom Italia soars 20%
32,2021-11-19,UPDATE 2-European stocks slammed by lockdown fears, end six-week rally
33,2021-11-19,European stocks eye seventh straight week of gains
34,2021-11-18,UPDATE 2-Europe's STOXX 600 ends lower, halting record rally; energy stocks slide
35,2021-11-18,European stocks edge higher; oil and mining shares drag
36,2021-11-17,UPDATE 2-European stocks hit record highs after rising for sixth day
37,2021-11-17,European stocks extend gains for sixth straight day
38,2021-11-16,UPDATE 2-European stocks extend record rally after Xi-Biden talks, Prosus, Kering boost
39,2021-11-16,European stocks notch all-time highs on earnings, Xi-Biden boost
40,2021-11-15,UPDATE 2-European stocks clock fresh record highs; miners slide
41,2021-11-15,European shares slip as lockdown worries, miners drag
42,2021-11-12,UPDATE 2-European shares end sixth straight week of gains at record high
43,2021-11-12,European shares notch new highs as Richemont leads surge in luxury stocks
44,2021-11-11,UPDATE 2-European shares mark new highs as mining stocks rally
45,2021-11-11,European stocks held back by inflation worries
46,2021-11-10,UPDATE 2-European stocks end at record high on robust earnings
47,2021-11-10,UPDATE 1-European stocks inch up on earnings ahead of U.S. inflation data
48,2021-11-10,Oil stocks, earnings drive European stocks higher
49,2021-11-09,UPDATE 2-European stocks dip from record highs after 8-day bull run
50,2021-11-09,European stocks inch up as Bayer, AB Foods support
51,2021-11-08,UPDATE 2-European shares inch up to record high on commodity gains
52,2021-11-08,European shares struggle for direction after record run
53,2021-11-05,UPDATE 2-European shares end week higher as Pfizer pill lifts travel stocks
54,2021-11-05,European shares pause after rally; French stocks at record high
55,2021-11-05,France's benchmark equity index breaches 7,000 points barrier for first time in its history
56,2021-11-04,UPDATE 2-European shares close at record high after Fed, BoE announcements
57,2021-11-04,European shares at record high as Fed unveils taper plan; eyes on BoE
58,2021-11-03,UPDATE 2-European shares end at record high on strong earnings
59,2021-11-03,France's benchmark CAC-40 equity index hits record high
60,2021-11-03,European shares hit fresh peaks on earnings boost
61,2021-11-02,UPDATE 2-European stocks inch up to record high on healthcare gains, miners weigh
62,2021-11-02,Miners knock European stocks lower ahead of key central bank decisions
63,2021-11-01,UPDATE 2-Banks power European stocks to record highs after stellar October
64,2021-11-01,European stocks kick off November with fresh highs
65,2021-10-29,UPDATE 2-European shares end flat, but add nearly 5% in October on strong earnings
66,2021-10-29,Tech stocks weigh on European shares after Apple's warning
67,2021-10-28,UPDATE 3-European shares inch higher on strong earnings, ECB maintains status quo
68,2021-10-28,European stocks struggle as Volkswagen offsets earnings cheer
69,2021-10-27,UPDATE 2-Miners, mixed earnings pull European stocks away from recent peaks
70,2021-10-27,Miners, mixed earnings drag down European stocks
71,2021-10-26,UPDATE 2-Upbeat earnings push European stocks close to record highs
72,2021-10-26,Upbeat earnings pull European stocks higher; Reckitt gains on forecast lift
73,2021-10-25,UPDATE 2-European stocks end flat as industrial losses offset commodity gains
74,2021-10-25,European stocks inch higher as commodity prices support
75,2021-10-22,UPDATE 2-Evergrande relief, earnings prop up European stocks
76,2021-10-22,Evergrande relief, earnings support European stocks
77,2021-10-21,UPDATE 2-European stocks recoup most losses; weak outlook hits SAP
78,2021-10-21,European stocks head lower on Evergrande woes, mixed earnings
79,2021-10-20,UPDATE 2-European stocks hit 6-week highs as Nestle shines in mixed bag of earnings
80,2021-10-20,European stocks fall as Kering, ASML's downbeat results weigh
81,2021-10-19,UPDATE 2-European stocks rise as defensive buying helps offset losses on downbeat earnings
82,2021-10-19,European stocks inch up as tech gains offset losses in Ericsson
83,2021-10-18,UPDATE 2-European stocks fall as luxury stocks feel pain from China's woes
84,2021-10-18,European shares dip on inflation worries, weak China data
85,2021-10-15,UPDATE 2-European stocks mark best week in seven months
86,2021-10-15,European stocks on course for best week in seven months
87,2021-10-14,UPDATE 2-European stocks rise past two-week highs on earnings optimism
88,2021-10-14,European stocks rise as tech rally rolls on
89,2021-10-13,UPDATE 2-European stocks rise on strong SAP, LVMH results
90,2021-10-13,European stocks extend losses, SAP shines after forecast lift
91,2021-10-12,UPDATE 3-Inflation jitters take toll on European stocks ahead of earnings
92,2021-10-12,European stocks hit by risk aversion ahead of earnings
93,2021-10-11,UPDATE 2-Stellar mining rally helps European stocks recoup losses
94,2021-10-11,European stocks flat as commodity shares offset earnings jitters
95,2021-10-08,UPDATE 3-European stocks log best week in two months
96,2021-10-08,CORRECTED-UPDATE 1-European stocks dip on tech losses, U.S. jobs caution
97,2021-10-08,European stocks dip on tech losses, U.S. jobs caution
98,2021-10-07,UPDATE 2-European shares rally on cooling energy prices, construction sector gains
99,2021-10-07,CORRECTED-European stocks rally as energy prices cool
100,2021-10-06,UPDATE 2-European stocks skid on inflation angst as oil jumps
101,2021-10-06,European stocks skid on inflation angst as oil jumps
102,2021-10-05,UPDATE 2-Best session in 11 weeks for European stocks as banks surge
103,2021-10-05,Banks, Infineon help European stocks buck global gloom
104,2021-10-04,UPDATE 2-Tech sell-off drags European stocks lower
105,2021-10-04,European stocks add to losses on growth worries
106,2021-10-01,UPDATE 3-European stocks hit 2-month lows on inflation worries
107,2021-10-01,European futures fall 1% as inflation worries sour global mood
108,2021-09-30,UPDATE 2-European shares flat, ends volatile September with losses
109,2021-09-30,European equities on course to end volatile September on bright note
110,2021-09-29,UPDATE 2-European stocks rise on AstraZeneca, ASM strength
111,2021-09-29,European stocks stabilise after tech-driven rout
112,2021-09-28,UPDATE 2-European shares fall 2% to one-week lows on tech tumble, China woes
113,2021-09-28,Tech slide, China woes weigh on European stocks
114,2021-09-27,UPDATE 2-European shares end lower; German stocks rise on election relief
115,2021-09-27,European shares rise on German election relief, oil surge
116,2021-09-24,UPDATE 2-European stocks slip on Evergrande woes, weak German business morale
117,2021-09-24,European stocks slide as Evergrande concerns resurface
118,2021-09-23,UPDATE 2-European stocks rally for third day, FTSE 100 struggles after BoE comments
119,2021-09-23,European stocks rally for third day, business surveys awaited
120,2021-09-22,UPDATE 2-European shares rise on Evergrande relief, ahead of Fed meeting
121,2021-09-22,European shares rise on Evergrande relief, gains in travel & leisure
122,2021-09-21,UPDATE 2-European shares recover from worst session in two months; UMG soars in debut
123,2021-09-21,European shares bounce after worst session in two months; UMG soars in debut
124,2021-09-20,UPDATE 3-European shares slide as China Evergrande's troubles cast shadow
125,2021-09-20,European shares slide 1% on global growth, taper worries
126,2021-09-17,UPDATE 2-European shares fall for third week in a row, miners worst hit
127,2021-09-17,European shares set for weekly gains as travel stocks soar
128,2021-09-16,UPDATE 2-European stocks rise as travel shares jump on Ryanair forecast
129,2021-09-16,European stocks rise on travel rebound, gains in Wall Street
130,2021-09-15,UPDATE 2-European stocks fall as utilities drag, luxury slides after China data
131,2021-09-15,European stocks under pressure from weak China data
132,2021-09-14,UPDATE 3-Europe ends flat as miners, luxury stocks weigh; inflation optimism cools
133,2021-09-14,Luxury, mining stocks weigh on Europe ahead of U.S. inflation data
134,2021-09-13,UPDATE 2-European stocks snap 4-day losing streak as oil, banks rise
135,2021-09-13,Automakers, banks lift European stocks on recovery bets
136,2021-09-10,UPDATE 2-European stocks end ECB week lower after stimulus slows as expected
137,2021-09-10,European stocks track Asian equities higher
138,2021-09-09,UPDATE 4-European stocks pare losses after ECB slows stimulus, as expected
139,2021-09-09,European stock futures slide ahead of ECB meeting
140,2021-09-08,UPDATE 2-Pre-ECB jitters knock 1% off European stocks
141,2021-09-08,European stocks fall 1% on growth worries
142,2021-09-07,UPDATE 3-European stocks slip from recent highs, telecom deals in focus
143,2021-09-07,European shares hover below record high, telecom stocks jump
144,2021-09-06,UPDATE 2-European stocks end near record highs as tech rallies
145,2021-09-06,Tech shares lead European stocks close to record highs
146,2021-09-03,UPDATE 2-European stocks mark worst fall in 2 weeks on U.S. job jitters
147,2021-09-03,CORRECTED-European stocks slip ahead of PMI, U.S. jobs data
148,2021-09-02,UPDATE 2-Oil stocks push European bourses higher, SOBI leads gains
149,2021-09-02,European stocks edge higher in cautious trading
150,2021-09-01,UPDATE 2-European stocks make strong start to September, record high in sight
151,2021-09-01,European stocks start September with gains, shake off growth worries
152,2021-08-31,UPDATE 2-European stocks mark seventh straight month of gains
153,2021-08-31,European stocks on track for seventh straight month of gains
154,2021-08-30,UPDATE 2-European stocks close flat, set for August gains
155,2021-08-30,European stocks hold firm near record highs
156,2021-08-27,UPDATE 2-European shares end higher on dovish Fed, Entra leads gains
157,2021-08-27,European stocks inch lower ahead of Powell's speech
158,2021-08-26,UPDATE 2-European stocks end lower on virus, policy jitters
159,2021-08-26,European stocks head lower on virus, policy anxiety
160,2021-08-25,UPDATE 2-European stocks end flat as utility losses outweigh travel, bank gains
161,2021-08-25,European stocks inch higher ahead of German business sentiment data
162,2021-08-24,UPDATE 3-European shares end flat as Fed fears, virus concerns weigh
163,2021-08-24,European shares extend recovery; travel stocks gain
164,2021-08-23,UPDATE 2-European shares end higher on commodity recovery after bruising week
165,2021-08-23,European stocks climb after bruising week
166,2021-08-20,UPDATE 2-European stocks end higher but log worst week in 6 months
167,2021-08-20,European stocks set for worst week in 6 months on virus, growth worries
168,2021-08-19,UPDATE 3-Europe shares mark biggest daily drop in a month as miners, luxury stocks tumble
169,2021-08-19,European shares fall 1% on taper fears; commodities slump hits miners
170,2021-08-18,UPDATE 2-Defensive, travel stocks keep European shares afloat
171,2021-08-18,European stocks steady as travel sector rebounds
172,2021-08-17,UPDATE 2-European stocks edge higher after data, virus worries linger
173,2021-08-17,European stocks hit one-week low on virus worries
174,2021-08-16,UPDATE 2-European stocks snap 10-day rally as China data drags
175,2021-08-16,Weak China data halts winning streak for European stocks
176,2021-08-13,UPDATE 2-European stocks log best winning streak since 2006, fourth week of gains
177,2021-08-13,European stocks set for fourth week of gains
178,2021-08-12,UPDATE 2-European stocks extend record rally on lift from insurers, M&A activity
179,2021-08-12,European stocks steady on strong earnings, M&A activity
180,2021-08-11,UPDATE 2-European shares bag longest winning streak since June
181,2021-08-11,European shares set for longest winning streak since June
182,2021-08-10,UPDATE 2-Europe's record streak keeps rolling as investors cheer earnings
183,2021-08-10,Travel and leisure stocks drive European shares to record high
184,2021-08-09,UPDATE 2-Defensive, technology stocks power European markets to record close
185,2021-08-09,European stocks mixed as commodities slide
186,2021-08-06,UPDATE 2-Stellar earnings fuel European stocks to best week in nearly 5 months
187,2021-08-06,European stocks slip but set for strong weekly gain
188,2021-08-05,UPDATE 2-European shares notch fourth straight record high on earnings strength
189,2021-08-05,Novo Nordisk, Siemens earnings boost European stocks at open
190,2021-08-04,UPDATE 2-Tech gains, strong earnings power European stocks to new highs
191,2021-08-04,European stocks extend record run on earnings optimism
192,2021-08-03,UPDATE 2-European stocks end at record high on strong energy, bank earnings
193,2021-08-03,Tech stocks weigh on European shares, BP jumps on dividend boost
194,2021-08-02,UPDATE 2-M&A rush, strong earnings see European stocks close at new highs
195,2021-08-02,M&A frenzy, earnings power European stocks to new highs
196,2021-07-30,UPDATE 2-European shares slip but log sixth straight month of gains
197,2021-07-30,European shares slide from peak as Asian worries sour mood
198,2021-07-29,UPDATE 2-European stocks close at new highs on earnings lift
199,2021-07-29,European stocks hit record high on earnings from Airbus, commodity majors
200,2021-07-28,UPDATE 2-European stocks rise as earnings lift sentiment ahead of Fed
201,2021-07-28,European stocks steady on upbeat earnings
202,2021-07-27,UPDATE 2-European shares lower on China falls, Reckitt marks worst day in 18 years
203,2021-07-27,Reckitt results, China woes drag European shares lower
204,2021-07-26,UPDATE 2-European stocks ease from peaks, Prosus hits 1-year low
205,2021-07-26,European stocks drift lower, Prosus hits 1-year low
206,2021-07-23,UPDATE 2-Auto rally, corporate earnings push European shares to record highs
207,2021-07-23,Upbeat earnings put European stocks on track for weekly gains
208,2021-07-22,UPDATE 3-Dovish ECB, upbeat earnings support euro zone stocks
209,2021-07-22,European stocks rise on earnings optimism, hopes of dovish ECB
210,2021-07-21,UPDATE 2-Blue-chip earnings, travel stocks boost European shares
211,2021-07-21,Blue-chip earnings, travel stocks boost European shares
212,2021-07-20,UPDATE 3-Miners, UBS help European stocks claw back some losses
213,2021-07-20,European stocks rebound after worst selloff of 2021
214,2021-07-19,UPDATE 3-Virus worries hammer European shares to their worst day this year
215,2021-07-19,Travel shares lead European declines on virus worries
216,2021-07-16,UPDATE 2-Basic material, luxury stocks drive European shares to a third day of losses
217,2021-07-16,European shares rise as travel stocks rebound
218,2021-07-15,UPDATE 2-European bourses sink on growth worries, disappointing earnings
219,2021-07-15,Oil majors drag European shares lower, Siemens Energy tumbles
220,2021-07-14,UPDATE 2-European shares cut losses after Powell stays dovish
221,2021-07-14,Travel stocks drag Europe lower, inflation woes mount
222,2021-07-13,UPDATE 2-European shares hover near all-time highs; Nokia surges
223,2021-07-13,European shares ease from peak, London outperforms on banking boost
224,2021-07-12,UPDATE 2-European stocks hit all-time highs but economic worries remain
225,2021-07-12,Utilities, real estate shares nudge European stocks higher
226,2021-07-09,UPDATE 2-European stocks rise on bargain-hunting, erase weekly losses
227,2021-07-09,European stocks rise at the end of choppy week
228,2021-07-08,UPDATE 2-European stocks a sea of red as bonds rally
229,2021-07-08,European stocks caught in global selloff on recovery concerns
230,2021-07-07,UPDATE 2-European shares rise as commodity stocks rebound, techs jump
231,2021-07-07,European stocks rebound as miners, autos rise
232,2021-07-06,UPDATE 2-European shares drop as investors turn to bonds amid economic uncertainty
233,2021-07-06,European shares muted after three days of gains
234,2021-07-05,UPDATE 2-Strong business activity lifts European shares; London mid-caps at record high
235,2021-07-05,Virus worries keep European shares below record highs
236,2021-07-02,UPDATE 2-Chipmakers lift European shares, banks cap gains
237,2021-07-02,European shares edge higher on boost from chipmakers ahead of U.S. jobs data
238,2021-07-01,UPDATE 2-Oil rally helps energy stocks lead European shares higher
239,2021-07-01,European shares rise as investors shake off virus, inflation fears
240,2021-06-30,UPDATE 2-European shares end lower but gain for a fifth straight month
241,2021-06-30,European shares fall on inflation, pandemic woes
242,2021-06-29,UPDATE 2-Sharp rise in European sentiment helps stocks higher
243,2021-06-29,Industrials, banks lift European shares as reflation trade heats up
244,2021-06-28,UPDATE 2-European stocks deepen losses, airlines slump on UK travel ban woes
245,2021-06-28,Inflation woes keep European shares below record highs, travel stocks slump
246,2021-06-25,UPDATE 2-European stocks remain below record highs after volatile week
247,2021-06-25,European shares near record high as industrials jump
248,2021-06-24,UPDATE 2-Recovery optimism lifts European stocks, tech rallies as Nasdaq hits record high
249,2021-06-24,Bank, retail shares lead European stocks higher; Carrefour gains
250,2021-06-23,UPDATE 2-Inflation fears keep European stocks below record highs
251,2021-06-23,Technology stocks lead Europe higher ahead of business activity data
252,2021-06-22,UPDATE 2-European shares propped up by commodities, Powell speech in focus
253,2021-06-22,European shares rise as recovery optimism lifts banks, miners
254,2021-06-21,UPDATE 3-European stocks end higher as Lagarde talks up economic growth
255,2021-06-21,European shares slide as Fed's hawkish tone hits miners, bank stocks
256,2021-06-18,UPDATE 2-European shares deepen losses after hawkish Fed comments
257,2021-06-18,European mining stocks take shine off five straight weeks of gains for STOXX 600
258,2021-06-17,UPDATE 2-European shares snap 9-day winning streak on Fed jitters
259,2021-06-17,European shares slip from record highs on hawkish Fed
260,2021-06-16,UPDATE 2-European shares mark record-high close ahead of Fed
261,2021-06-16,Oil gains lift European shares, STOXX index holds just off record high
262,2021-06-15,UPDATE 2-European shares end slightly higher as Fed comes into focus
263,2021-06-15,European shares set longest winning streak since 2019 on recovery optimism
264,2021-06-14,UPDATE 2-Oil stocks power European shares to record-high finish
265,2021-06-14,Economic recovery hopes power European shares to record high
266,2021-06-11,UPDATE 2-European stocks hit record as miners boost, log best week since early May
267,2021-06-11,European stocks extend gains for sixth day
268,2021-06-10,UPDATE 2-European stocks eke out fresh record as ECB raises recovery outlook
269,2021-06-10,Auto, oil firms weigh on European shares ahead of ECB
270,2021-06-09,UPDATE 2-European shares hold near peaks; travel stocks shine on recovery prospects
271,2021-06-09,European shares linger near record levels, airlines rise
272,2021-06-08,UPDATE 2-European shares at fresh peaks as travel, real estate stocks lead
273,2021-06-08,Utilities, telecoms support European stocks; autos slide
274,2021-06-07,UPDATE 2-European shares stay at record highs; commodity stocks fall
275,2021-06-07,Commodity shares knock Europe off record highs
276,2021-06-04,UPDATE 2-European stocks at record highs, weak U.S. payrolls hit tapering bets
277,2021-06-04,European stocks steady ahead U.S. jobs data, airlines slide
278,2021-06-03,UPDATE 2-European stocks pare losses as upbeat data lifts mood
279,2021-06-03,European stocks slip ahead of data deluge
280,2021-06-02,UPDATE 2-European shares hold near record highs as energy, consumer stocks bounce
281,2021-06-02,European stocks hover near record high as oil shares bounce
282,2021-06-01,UPDATE 2-Commodity rally, record factory growth lift European shares to new peak
283,2021-06-01,European stocks climb on commodity boost ahead of data
284,2021-05-31,UPDATE 2-European stocks fall from record but post fourth monthly gain
285,2021-05-31,European stocks slip from record high, Deutsche Bank drags
286,2021-05-28,UPDATE 2-European shares at record high on gains in financials, U.S. spending plan
287,2021-05-28,European shares inch closer to record high
288,2021-05-27,UPDATE 3-European shares hit record high on Airbus boost, Bayer hurt by Roundup ruling
289,2021-05-27,European shares hover below record highs, HSBC edges lower
290,2021-05-26,UPDATE 2-European stocks flat as banks falls offset travel and leisure gains
291,2021-05-26,European stocks rise as central banks pledge easy monetary policy
292,2021-05-25,UPDATE 2-European stocks end below record high as mining losses offset tech rally
293,2021-05-25,Germany leads European shares to record highs after big property deal
294,2021-05-24,UPDATE 2-European stocks hover near record highs, Cineworld gains
295,2021-05-24,European stocks hover near record high, Cineworld gains
296,2021-05-21,UPDATE 2-European stocks rise for the week with cautious optimism, inflation fears linger
297,2021-05-21,European stocks up ahead of business activity data, Richemont shines
298,2021-05-20,UPDATE 2-European stocks rebound after upbeat earnings, chip M&A activity
299,2021-05-20,Earnings, chip M&A talks keep European stocks buoyant
300,2021-05-19,UPDATE 2-European stocks mark worst day in one week as inflation concerns mount
301,2021-05-19,European stocks fall as inflation concerns mount
302,2021-05-18,UPDATE 2-Europe's STOXX 600 up on reopening optimism, German stocks hit record high
303,2021-05-18,Reopening optimism pushes European stocks closer to record high
304,2021-05-17,UPDATE 2-European stocks end flat between Asia worries, British re-opening cheer
305,2021-05-17,European stocks steady with focus on economic reopening
306,2021-05-14,UPDATE 2-European stocks jump as energy, retail rise; ends lower for the week
307,2021-05-14,European stocks rebound at end of volatile week
308,2021-05-13,UPDATE 2-European stocks edge lower as heavyweight miners decline
309,2021-05-13,European stocks resume slide on rising inflation worries
310,2021-05-12,UPDATE 2-European stocks rise as oil shares surge, shrug off U.S. inflation worries
311,2021-05-12,European stocks steady after Tuesday's rout, Commerzbank shines
312,2021-05-11,UPDATE 2-European stocks mark worst sell-off this year, travel and tech tumble
313,2021-05-11,REFILE-Inflation nerves hit European stocks; Evolution Gaming tumbles
314,2021-05-10,UPDATE 2-European stocks end at record highs as miners rally
315,2021-05-10,European stocks hit fresh record high as miners rally
316,2021-05-07,UPDATE 2-European stocks end at record high on strong German data, earnings
317,2021-05-07,Strong German data, Adidas lift European stocks to record high
318,2021-05-06,UPDATE 2-European shares end lower as oil, tech losses offset earnings boost
319,2021-05-06,European stocks near record high on strong AB Inbev, bank earnings
320,2021-05-05,UPDATE 2-European stocks bounce back from tech rout on strong data, commodities
321,2021-05-05,European stocks rebound after selloff, miners jump
322,2021-05-04,UPDATE 2-European shares dragged down by tech's worst day since October
323,2021-05-04,Mining, travel stocks lift European shares on recovery bets
324,2021-05-03,UPDATE 2-European stocks close higher on positive data, reopening hopes
325,2021-05-03,European stocks edge higher on earnings optimism, recovery hopes
326,2021-04-30,UPDATE 2-Europe's STOXX 600 marks third month of gains on earnings, recovery hopes
327,2021-04-30,Earnings support European stocks ahead of GDP data
328,2021-04-29,UPDATE 2-European shares dip on high yields and profit-taking; banks rally
329,2021-04-29,Unilever, Nokia earnings push European shares towards record high
330,2021-04-28,UPDATE 2-European stocks end flat between earnings optimism, Fed caution
331,2021-04-28,REFILE-Deutsche Bank, Lloyds earnings prop up European shares
332,2021-04-27,UPDATE 2-European shares end lower as UBS unveils Archegos hit, travel stocks soar
333,2021-04-27,European stocks weighed down by UBS' Archegos hit, BP surges
334,2021-04-26,UPDATE 2-European stocks end higher as miners scale 10-year peaks
335,2021-04-26,European shares flat as weakness in autos negate mining gains
336,2021-04-23,UPDATE 2-European stocks log first weekly drop in eight, Allfunds jumps in debut
337,2021-04-23,European stocks inch lower, Allfunds jumps in debut
338,2021-04-22,UPDATE 2-Solid earnings boost European stocks as ECB stands pat
339,2021-04-22,European shares extend gains on upbeat Nestle, Volvo earnings
340,2021-04-21,UPDATE 3-European shares rebound on strong earnings, M&A speculation boosts Hugo Boss
341,2021-04-21,European stocks bounce back as ASML outlook lifts tech sector
342,2021-04-20,UPDATE 2-Europe stocks post worst day of the year; Tobacco firms weigh
343,2021-04-20,Tobacco companies weigh on European shares
344,2021-04-19,UPDATE 2-European shares retreat from record highs as Wall St dips, currencies surge
345,2021-04-19,European shares at record high on auto stocks boost
346,2021-04-16,UPDATE 2-European stocks notch new highs as Daimler earnings lift carmakers
347,2021-04-16,European stocks rise as Daimler earnings lift automakers
348,2021-04-15,UPDATE 2-Earnings, metal rally spur European stocks to record high
349,2021-04-15,Earnings, metal rally spur record high for European stocks
350,2021-04-14,UPDATE 2-SAP, LVMH earnings nudge European stocks higher; German shares lag
351,2021-04-14,SAP, LVMH earnings nudge European stocks higher
352,2021-04-13,UPDATE 3-European shares pause near record highs
353,2021-04-13,European shares pause near record high with eyes on U.S. inflation data
354,2021-04-12,UPDATE 2-European stocks slip from record highs as focus shifts to earnings
355,2021-04-12,European stocks ease from record high ahead of earnings season
356,2021-04-09,UPDATE 2-European stocks mark longest weekly winning streak since November 2019
357,2021-04-09,European stocks on longest weekly winning streak in a year
358,2021-04-08,UPDATE 2-European stocks hit record highs after Fed holds stance
359,2021-04-08,European stocks scale all-time highs with miners in the lead
360,2021-04-07,UPDATE 2-European stocks pause near record high, UK outperforms
361,2021-04-07,European stocks hover near record high, UK outperforms
362,2021-04-06,UPDATE 2-Europe's STOXX 600 closes at record high on global recovery optimism
363,2021-04-06,Europe's STOXX 600 hits record high on global recovery optimism
364,2021-04-01,UPDATE 2-European shares stalk record high as factory activity perks up
365,2021-04-01,European stocks enter new quarter with small gains, chipmakers rally
366,2021-03-31,UPDATE 1-Listless trading keeps European stocks flat; Deliveroo tumbles in debut
367,2021-03-31,European stocks near record high; Deliveroo tumbles in debut
368,2021-03-30,UPDATE 2-European stocks hover near record high with banks in lead
369,2021-03-30,European shares near record highs, led by banks
370,2021-03-29,UPDATE 2-European stocks edge higher, Credit Suisse tumbles
371,2021-03-29,European stocks near record highs on recovery hopes; Credit Suisse slumps
372,2021-03-26,UPDATE 2-European stocks close to all-time highs as miners, tech shine
373,2021-03-26,Commodity gains push European stocks to 1-week high
374,2021-03-25,UPDATE 2-Pandemic worries weigh on European shares
375,2021-03-25,European stocks slip as lockdowns cloud growth outlook
376,2021-03-24,UPDATE 2-European stocks muted as new lockdown outweighs strong business activity data
377,2021-03-24,European stocks hit 2-week low ahead of PMI data
378,2021-03-23,UPDATE 2-European stocks end lower on new coronavirus wave, lockdown restrictions
379,2021-03-23,European stocks slide on concerns over new virus wave
380,2021-03-22,UPDATE 2-European shares edge higher as autos lead gains, Turkey-exposed banks fall
381,2021-03-22,Turkish turmoil, Germany lockdown extension hit European stocks
382,2021-03-19,UPDATE 2-European shares end lower on lockdown worries, still posts third week of gains
383,2021-03-19,Lockdown worries, oil drag European stocks lower
384,2021-03-18,UPDATE 2-European shares gain, auto rally lifts Germany to record high
385,2021-03-18,German DAX hits record high as automakers rally
386,2021-03-17,UPDATE 2-European shares slip ahead of Fed outcome; BMW races higher
387,2021-03-17,European shares tread water ahead of Fed outcome
388,2021-03-16,UPDATE 2-European stocks rise as upbeat forecast from Volkswagen spurs rally in autos
389,2021-03-16,European stocks rise on upbeat forecasts from Zalando, Volkswagen
390,2021-03-15,UPDATE 2-European shares flat as financials, miners weigh; Flutter rises
391,2021-03-15,European shares rise, Danone jumps after CEO ouster
392,2021-03-12,UPDATE 2-European shares retreat on rising bond yields; logs best week since November
393,2021-03-12,European shares retreat as rising bond yields weigh
394,2021-03-11,UPDATE 2-European shares at fresh one-year peak after dovish ECB signal
395,2021-03-11,European shares hit fresh one-year peak ahead of ECB decision
396,2021-03-10,UPDATE 2-Defensive sectors, Adidas lift European stocks; cyclicals fall
397,2021-03-10,European shares slip as miners, travel stocks weigh
398,2021-03-09,UPDATE 2-European stocks end higher on support from oil, utilities
399,2021-03-09,Miners weigh on European stocks after best day in four months
400,2021-03-08,UPDATE 2-Banks boost European stocks as recovery hopes grow
401,2021-03-08,Oil, travel stocks boost European shares
402,2021-03-05,UPDATE 2-European stocks pressured by yields, but mark weekly gains on firm cyclicals
403,2021-03-05,Powell disappointment hits European stocks, tech slides again
404,2021-03-04,UPDATE 2-European shares end lower as miners and tech are pressured by firmer yields
405,2021-03-04,Rising U.S. yields knock European stocks, miners slump
406,2021-03-03,UPDATE 2-European stocks muted as rise in yields, inflation bets curb initial gains
407,2021-03-03,European stocks rally, FTSE jumps 1% ahead of budget
408,2021-03-02,UPDATE 2-European shares end higher as commodity majors reverse losses
409,2021-03-02,Weak commodity prices weigh on European shares
410,2021-03-01,UPDATE 2-European stocks mark best day in nearly 4 months after bond-driven rout
411,2021-03-01,European stocks rebound as bond markets stabilise
412,2021-02-26,UPDATE 3-European shares drop as high yields spark profit taking in tech, resources
413,2021-02-26,European shares drop more than 1% as bond sell-off intensifies
414,2021-02-26,European stock futures slide over 1% as surging bond yields roil equity markets
